Cluster,"Centroide (x,y) [mm]_1","Centroide (x,y) [mm]_2",Dispersione (2Ïƒ) [um]
1,27.6703588599269,14.9760635595306,66.7219027620526
2,20.6471106947759,14.9615591438679,60.368512104131
3,14.1081257782478,14.8412308955665,49.0528546417576
4,6.51961955112141,14.7774867253627,81.2471953086188
5,-2.54073994388391,14.6947413838897,51.2534297910939
6,-2.41133271706199,8.50052740246136,45.3150730055222
7,7.26211699003246,8.60750788048012,39.6298667468746
8,11.8807593932018,8.61034720016193,31.5310917517483
9,21.9824443490663,8.71889216305206,32.3533121512298
10,27.8164564405841,8.79342875905346,29.4973221723688
11,27.8471771259294,6.29388484443769,53.6909938294874
12,22.6821817082009,6.22733378404031,31.1948400583406
13,13.353553529213,6.16313396223084,60.1064677644718
14,6.83147954780566,6.0802832531715,40.8605424873516
15,-1.59407346970979,5.9955514199148,38.7203364337369
16,-1.51948951590414,-1.4412557875465,63.712511629401
17,5.75657184769773,-1.4281029557939,32.9180443844217
18,11.8041494327219,-1.35777252231276,38.9030697296442
19,20.3408204481748,-1.22235080541498,18.9872725929391
20,26.7433613167059,-1.18626516326204,36.3485307087216
21,26.8214934983298,-5.52063151189548,22.971268808109
22,19.6204653390823,-5.54800862021983,45.8137673043902
23,14.6036817077308,-5.60398720366888,79.4782350728732
24,5.45279667635969,-5.78355249708742,42.6169996392907
25,-1.1841413737297,-5.77703967477346,26.2662915154131
